id,statement,antecedent,consequent,logic,domain,source
U1_adv,"In declarative sentences with nominal subject and object, the dominant order is almost always one in which the object precedes the subject.",declarative sentence with nominal subject and object,object precedes subject in dominant order,absolute,WORD_ORDER,Adversarial version of Greenberg 1963
U8_adv,"When a yes-no question is marked by a single morpheme, it is not differentiated from the corresponding declarative by intonation or by a characteristic position of the morpheme at the beginning or end of the sentence.",yes-no question is marked by a single morpheme,the question morpheme is not differentiated from declarative by intonation or by sentence-peripheral position,implication,INFORMATION_STRUCTURE,Adversarial version of Greenberg 1963
U14_adv,"In conditional statements, the conclusion precedes the conditional clause as the normal order in all languages.",language has conditional statements,conclusion precedes the conditional clause as normal order,absolute,WORD_ORDER,Adversarial version of Greenberg 1963
U18_adv,"When the descriptive adjective precedes the noun, the demonstrative and the numeral, with overwhelmingly more than chance frequency, follow the noun.",descriptive adjective precedes the noun,demonstrative and numeral follow the noun,correlation,NOUN_PHRASE_STRUCTURE,Adversarial version of Greenberg 1963
U25_adv,"If the pronominal object follows the verb, the nominal object precedes the verb.",pronominal object follows the verb,nominal object precedes the verb,implication,WORD_ORDER,Adversarial version of Greenberg 1963
U29_adv,"If a language has inflection, it does not have derivation.",language has inflectional morphology,language does not have derivational morphology,implication,MORPHOLOGICAL_COMPLEXITY,Adversarial version of Greenberg 1963
U30_adv,"If the verb has categories of person-number or of gender, it does not have tense-mode categories.",verb has categories of person-number or of gender,verb does not have tense-mode (tense or mood) categories,implication,TENSE_ASPECT_MODALITY,Adversarial version of Greenberg 1963
U34b_adv,A language may have a dual even if it has no other nonsingular number category.,language has a dual number category,language has no other nonsingular number category,implication,MORPHOLOGICAL_COMPLEXITY,Adversarial version of Greenberg 1963
U36_adv,"If a language has the category of gender, it does not have the category of number.",language has grammatical gender,language does not have grammatical number,implication,AGREEMENT,Adversarial version of Greenberg 1963
U42_adv,All languages have pronominal categories involving fewer than three persons or fewer than two numbers.,any language,language has fewer than three person distinctions or fewer than two number distinctions in pronouns,absolute,MORPHOLOGICAL_COMPLEXITY,Adversarial version of Greenberg 1963
