ID,Query,Gold_label,Note,Coding,Definition,Grambank_ID_desc
GB020,Are there definite or specific articles?,0,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. Code 1 if there is a morpheme that can mark definiteness or specificity without also conveying a spatial deictic meaning.
2. Code 0 if the source does not mention a definite article and you cannot find one in examples or texts in an otherwise comprehensive grammar.
3. Code ? if the grammar does not contain enough analysis to determine whether there is a definite article or not.","An article is a marker that accompanies the noun and expresses notions such as (non-)specificity and (in)definiteness. Sometimes these notions of specificity and definiteness are summed up in the term 'identifiability'. The formal expression is irrelevant; articles can be free, bound, or marked by suprasegmental markers such as tone.
Articles are different from demonstratives in that demonstratives occur in a paradigm of markers that have a clear spatial deictic function. As demonstratives can grammaticalize into definite or specific articles, they form a natural continuum, making it hard to define discrete categories, but to qualify as an article a marker should be used in some cases to express definiteness without also expressing a spatial deictic meaning.",GB020 ARTDef
GB021,Do indefinite nominals commonly have indefinite articles?,0,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. Code 1 if indefinite NPs commonly occur with an indefinite/non-specific article. Three or more examples are sufficient.
2. Code 1 if there is evidence (three or more examples) of a demonstrative or numeral for 1 that has grammaticalized into an indefinite article. Look for explicit analysis from the author that they are indefinite articles or look at the environments in which they occur, for example, whether they occur in different positions depending on whether they are functioning as an indefinite article or not.  
3. Code 0 if there are no indefinite articles. 
4. Code 0 if there are less than three examples of indefinite/non-specific articles occurring with indefinite NPs and note this in the comments.
5. Code ? if it is unclear whether there are indefinite articles due to limited analysis from the author or because there are not enough examples.","For this feature, we need explicit support that indefinite/non-specific NPs commonly occur with an indefinite/non-specific article. Three or more examples of indefinite/non-specific nominals occurring with an indefinite/non-specific article is sufficient to code 1. 

An indefinite article is a marker that accompanies the indefinite noun and expresses notions such as non-specificity and indefiniteness. Sometimes these notions of non-specificity and indefiniteness are summed up in the term ‘identifiability’. A language does not necessarily have both a non-specific/indefinite and a specific/definite marker. These markers often stem from very different sources (numerals and demonstratives) and need not be similar in formal expression or position. 

The formal expression is irrelevant; articles can be free, bound, or marked by suprasegmental markers such as tone. Articles are different from demonstratives in that demonstratives occur in a paradigm of markers that have a clear spatial deictic function. As demonstratives can grammaticalize into definite or specific articles, they form a natural continuum, making it hard to define discrete categories. Articles are more grammaticalized, i.e. are often [obligatory](https://github.com/grambank/grambank/wiki/Obligatoriness) in certain contexts that require definite or specific reference. Definite or specific articles can also grammaticalize from pronouns meaning ‘a certain’. As articles necessarily accompany nouns, it is in these cases that it is necessary to investigate whether the marker can occur independently or not; if it can it is most likely a pronoun and not an article. Articles can be homophonous with pronouns and demonstratives, and also with classifiers.",GB021 ARTIndef
GB022,Are there prenominal articles?,0,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. If there are articles, code 1 if in a pragmatically unmarked order they can precede the noun.
2. If there is an item which occurs before the noun which may be an article but which receives ? for GB020 or GB021, then code ?.
3. If demonstratives and articles are not well described, then code ?.
4. If both GB022 and [GB023](https://github.com/grambank/Grambank/wiki/GB023) are coded as 1, please write a comment explaining this as we are interested in the reasons that a language may have both prenominal and postnominal articles.","All questions concerning the order of elements aim to capture a pragmatically unmarked order. If both GB022 and GB023 are coded 1, please write a comment. Articles cover both definite or indefinite articles as defined in [GB020](https://github.com/grambank/grambank/wiki/GB020) and [GB021](https://github.com/grambank/grambank/wiki/GB021) respectively. In order to answer 1 for this feature, the markers' functions need to meet one of those definitions, so 1 should also have been answered for [GB020](https://github.com/grambank/grambank/wiki/GB020) or [GB021](https://github.com/grambank/grambank/wiki/GB021).",GB022 ARTPre
GB023,Are there postnominal articles?,0,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. If there are articles, code 1 if in a pragmatically unmarked order they follow the noun.
2. If there is an item which occurs after the noun which may be an article but which receives ? for GB020 or GB021, then code ?.
3. If demonstratives and articles are not well described in the language, then code ?.
4. If both GB023 and [GB022](https://github.com/grambank/Grambank/wiki/GB022) are coded as 1, please leave a comment explaining this as we are interested in the reasons that a language may have both prenominal and postnominal articles.","All questions concerning the order of elements aim to capture a pragmatically unmarked order.If both GB022 and GB023 are coded 1, please write a comment. Articles cover both definite or indefinite articles as defined in [GB020](https://github.com/grambank/grambank/wiki/GB020) and [GB021](https://github.com/grambank/grambank/wiki/GB021) respectively. In order to answer 1 for this feature, the markers' functions need to meet one of those definitions, so 1 should also have been answered for [GB020](https://github.com/grambank/grambank/wiki/GB020) or [GB021](https://github.com/grambank/grambank/wiki/GB021).",GB023 ARTPost
GB024,What is the order of numeral and noun in the NP?,1,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. Consider only phrases with the meaning 'X (numeral) units of Y (noun)' in their pragmatically neutral form. It does not matter what kind of construction is required (e.g. attributive *two books* or relative *books that are two*) or what word class the root or modifying form of the cardinal numerals belongs to, e.g. *two-ing books* (verb) or *two-some books* (noun) apply to this question.
2. If the numeral always precedes the noun, code 1. 
3. If the numeral always follows the noun, code 2.
4. If a closed class of nouns requires a different order than an open class, disregard the closed class and code the order that applies to the open class.
5. If both orders occur for an open class of nouns, that is if some numerals precede and some follow, or there is a free choice or there is a choice depending on some other factor (e.g. definiteness), code 3.","This feature focuses on the order of cardinal numerals (not ordinal numerals) and nouns in quantified noun phrases. In some languages only one order (Numeral-Noun or Noun-Numeral) is possible. In other languages both orders may be possible. This can take the form of free variation (where Numeral-Noun and Noun-Numeral order can occur interchangeably). The order may also depend on some other grammatical category which is neutral with respect to pragmaticality (e.g. definiteness). If the order depends on the noun, consider only the orders that apply to an open class of nouns and disregard orders that are restricted to a specific closed class of nouns.",GB024 NUMOrder
GB025,What is the order of adnominal demonstrative and noun?,1,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. In the pragmatically unmarked order, if the demonstrative precedes the noun, code 1.
2. In the pragmatically unmarked order, if the demonstrative follows the noun, code 2.
3. If both orders occur, for example, if some demonstratives precede and some follow, or there is a free choice, then code 3.","This feature is concerned with the order of the noun and adnominal demonstratives (i.e. demonstratives that modify the noun). There are three possible values to code: 1, before the noun, 2, after the noun, or 3, both orders are possible. Like all questions concerning the order of elements, only the pragmatically unmarked orders are targeted.",GB025 DEMOrder
GB026,Can adnominal property words occur discontinuously?,0,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. Code 1 if there are any sentences illustrating noun phrases where the adnominal property word is separated from the noun phrase whose head it modifies, such as *The man is running big.* to mean ‘The big man is running.’
2. Ignore sentences which may be resultatives such as *I painted the house red.* or contrastives such as *I saw the boy big.* (when he was an adult).
3. Code 1 if the grammar specifically states that the language allows adnominal property words to occur in a position separated from the remainder of the nominal phrase whose head they modify.
4. If discontinuous adnominal property words are not mentioned and there are no example sentences that show this phenomenon, code 0.
5. If there is an extensive agreement system, exhaust all resources to discover whether discontinuous adnominal property words are possible, even if they are not mentioned in the grammar. If you are uncertain whether their omission from a grammar truly indicates their absence in a language with an extensive agreement system you may code ? and include a comment about the lack of evidence.","This feature describes an adnominal property word denoting core adjectival concepts such as shape, value, dimension, age, color (at a minimum -- many other meanings are possible) which can be separated from the noun it modifies by some element that is not part of the nominal phrase. For example, can you say ***the man** is running **big*** to mean ‘**the big man** is running’? 

Typically a language which allows this has extensive [agreement](https://github.com/grambank/grambank/wiki/Agreement) systems so that you can still work out what modifies what in the NP without them being adjacent (e.g. the ‘Australian type’). NPs that are made up of several coordinated NPs that can be interpreted by the verb or other elements are not relevant here. This features aims specifically to capture the phenomenon of a single NP whose property words can occur outside of and not immediately adjacent to the portion of the NP that contains the head. Examples of the type *I painted the house red* or *I saw the boy big* are not necessarily discontinuous, but most likely resultative or contrastive (*I saw the boy big* [as opposed to before when he was small]). These should be disregarded for the purposes of this feature.

Note that for the purposes of this feature only property words (e.g. *tall*, *red*, *friendly*) should be considered. Any other elements described as 'adjectives' or 'adjectival' in the grammatical description (e.g. quantifiers, demonstratives) should be disregarded in coding this feature.",GB026 ADJDiscont
GB027,Are nominal conjunction and comitative expressed by different elements?,1,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. Determine if both comitative and nominal conjunction are overtly marked (i.e. not solely by juxtaposition). If one of them is zero-marked, code 0.
2. Code 1 if there is an example of NP coordination (e.g. *John **and** Mary went to the market*) which uses an element that is distinct from the comitative marker (e.g. *John went to the market **with** Mary.*). 
3. Code 0 if a grammar states that the language uses the same elements to coordinate NPs and to mark comitative phrases.
4. Grammars do not always explicitly state whether or not the same element is used for comitative marking and nominal conjunction. Look for examples in example sentences and in appended texts as well as in the prose of the grammar.","Is there a difference between the marking of NP coordination (*John **and** Mary went to market.*) and the marking of comitative phrases (*John **with** Mary went to market.*)? In some languages the only way to coordinate noun phrases is with a comitative phrase, i.e. the only way to say ‘X **and** Y’ is ‘X **with** Y’. To see whether an element is comitative or coordinating you can check case marking and agreement. For example, if X is the element in question and in the dative you get ‘John-DAT X Mary-DAT’, then X is likely coordinating. If you get ‘John-DAT X Mary’, X is likely comitative. If there is agreement, if you get ‘John X Mary verb-PL’ rather than 'John X Mary verb-SG' (just like ‘John X suitcase verb-SG’), this suggests that X is coordinating.",GB027 ComitConjDifferent
GB028,Is there a distinction between inclusive and exclusive?,0,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. Code 1 if there is a pronoun or other marker, such as a person index, that explicitly marks the inclusion of an interlocutor in the first person plural.  
2. Code 0 if the sections of the grammar discussing pronoun systems and person indexing on verbs describe no distinctions between inclusive and exclusive persons, and no pronominal forms or indices are found in examples glossed with grammatical information including INCL/EXCL or meanings such as ‘you and I’ or ‘we all (not you)’. Pay close attention to the non-singular forms of first person pronouns and indices. 
3. If you are uncertain whether some pronominal or index form(s) mark(s) a clusivity distinction (e.g. a form in a single example glossed ‘you and I’ that is known to encode dual number but is not clearly described regarding inclusivity, or multiple first person pronouns whose differences are not adequately described), code ? and provide a brief comment describing the forms or descriptions that were unclear.","Is there a pronoun or other marker that explicitly marks the inclusion of an interlocutor? This feature is not restricted to the pronominal system but includes person [indexing](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns) as well. If inclusive is marked overtly in either the pronominal system or through verbal marking this is sufficient to trigger a 1 for this feature, even if exclusive has no overt morphological marking.",GB028 Clusivity
GB030,Is there a gender distinction in independent 3rd person pronouns?,0,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. If there are grammaticalized independent third person pronouns which encode a distinction in gender, including categories such as masculine and feminine or animacy, code 1.
2. If there are independent third person pronouns that are marked for the gender/noun class of the referent, code 1.
3. If there are no third person pronouns _that specify gender/noun class_ but there are demonstratives that encode gender distinctions, code 1. Note that this includes cases where the language's third person pronouns do not encode any noun class/gender distinctions as well as cases where there are no independent third person pronouns.
4. If pronouns are used only for animate third person referents and demonstratives are used for inanimate third person referents, but no noun class/gender contrasts are encoded within the third person pronouns nor within the set of demonstratives, this can be interpreted as an animacy contrast in third person pro-forms and is sufficient for 1 coding.
5. If neither independent third person pronouns nor demonstratives are marked for noun class/gender, code 0.
6. If you are uncertain whether the categories distinguished in third person pronoun forms or demonstratives are relevant to this feature, code ? and provide a comment describing the potentially relevant categories in the language's third person pronouns and/or demonstratives.","This question targets the existence of any [gender distinction](https://github.com/grambank/grambank/wiki/Noun-Classes-and-Classifiers) in [phonologically independent third person pronouns](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns). For the purposes of this feature we define third person pronouns as including demonstratives. A masculine/feminine distinction is commonly encoded in third person pronouns, but distinctions in any other noun class/gender categories such as animacy also satisfy the criterion for coding a 1 for this feature. For languages with no third person independent pronouns or no noun class/gender distinctions in third person pronouns, a gender distinction in demonstratives would be sufficient to trigger a 1 here. If pronouns with just inanimate referents (or alternatively, just animate referents) agree with the noun class/gender of the corresponding noun that also suffices for 1. If a language has any gender distinction for third person pronouns but not for demonstratives, this is also sufficient for a 1. For more information on the difference between grammatical gender and social, cultural, and biological constructs or traits, see the [gender wiki page](https://github.com/grambank/grambank/wiki/Grammatical-gender-and-other-notions-of-gender).",GB030 PRO3PGender
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?,0,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. If there is at least one grammaticalized pronoun in each person category in a language's independent pronoun paradigm that specifies that the number of what is being referred to is two, then code 1.
2. If there is at least one morpheme for each person category in a language's person indexing paradigm that specifies that the number of what is being referred to is two, then code 1.
3. If the expression of dual number for one or more person categories in the pronoun or person index paradigm(s) relevant to steps 1-2 requires a non-dual pronoun or index form plus a separate, general dual marker, code 0 and include a comment.
4. If there are multiple pronoun (or person indexing) paradigms in the language and at least one of them includes a dual or unit-augmented number form for all person categories, then code 1.
5. Otherwise code 0.","A dual or unit augmented form must be present throughout the paradigm (i.e. for all person categories) for this feature to be coded as 1. Both [independent pronouns and bound person indexes](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns) are to be considered in coding this feature. Inclusive and exclusive categories of first person are not considered separate person categories for the purposes of coding this feature (e.g. if a language has dual number in third, second, and any first person category it is sufficient for triggering a 1). A dual or unit augmented form for a single person category in the paradigm is *not* sufficient for a 1 code.",GB031 PRODualAug
