id,statement,antecedent,consequent,logic,domain,source
U1,"In declarative sentences with nominal subject and object, the dominant order is almost always one in which the subject precedes the object.","declarative sentence with nominal subject and object","subject precedes object in dominant order","absolute","WORD_ORDER","Greenberg 1963"
U2,"In languages with prepositions, the genitive almost always follows the governing noun, while in languages with postpositions it almost always precedes.","language has prepositions","genitive follows the governing noun","implication","WORD_ORDER","Greenberg 1963"
U2b,"In languages with postpositions, the genitive almost always precedes the governing noun.","language has postpositions","genitive precedes the governing noun","implication","WORD_ORDER","Greenberg 1963"
U3,"Languages with dominant VSO order are always prepositional.","language has dominant VSO word order","language uses prepositions","implication","WORD_ORDER","Greenberg 1963"
U4,"With overwhelmingly greater than chance frequency, languages with normal SOV order are postpositional.","language has dominant SOV word order","language uses postpositions","correlation","WORD_ORDER","Greenberg 1963"
U5,"If a language has dominant SOV order and the genitive follows the governing noun, then the adjective likewise follows the noun.","language has dominant SOV order AND the genitive follows the governing noun","adjective follows the noun","implication","WORD_ORDER","Greenberg 1963"
U6,"All languages with dominant VSO order have SVO as an alternative or as the only alternative basic order.","language has dominant VSO order","language has SVO as alternative or only alternative basic order","implication","WORD_ORDER","Greenberg 1963"
U7,"If in a language with dominant SOV order there is no alternative basic order, then all adverbial modifiers of the verb likewise precede the verb.","language has dominant SOV order with no alternative basic order","all adverbial modifiers of the verb precede the verb","implication","WORD_ORDER","Greenberg 1963"
U8,"When a yes-no question is marked by a single morpheme, it is always differentiated from the corresponding declarative by intonation or by a characteristic position of the morpheme at the beginning or end of the sentence.","yes-no question is marked by a single morpheme","the question morpheme is differentiated from declarative by intonation or by sentence-peripheral position","implication","INFORMATION_STRUCTURE","Greenberg 1963"
U9,"With well more than chance frequency, when question particles or affixes are specified in position by reference to the sentence as a whole, if initial they are found in prepositional languages and if final in postpositional.","question particles or affixes are sentence-initial","language is prepositional","correlation","INFORMATION_STRUCTURE","Greenberg 1963"
U10,"Question particles or affixes, when specified in position by reference to a particular word in the sentence, almost always follow that word. Such particles do not occur in languages with dominant order VSO.","question particle or affix is positioned relative to a particular word","the particle follows that word","correlation","INFORMATION_STRUCTURE","Greenberg 1963"
U11,"Inversion of statement order so that verb precedes subject occurs only in languages where the question word or phrase is normally initial. This same inversion occurs in yes-no questions only if it also occurs in interrogative word questions.","verb-subject inversion occurs in yes-no questions","verb-subject inversion also occurs in interrogative word questions","implication","INFORMATION_STRUCTURE","Greenberg 1963"
U12,"If a language has dominant order VSO in declarative sentences, it always puts interrogative words or phrases first in interrogative word questions; if it has dominant order SOV, there is never such an invariant rule.","language has dominant VSO order in declarative sentences","interrogative words or phrases are always placed first in interrogative word questions","implication","INFORMATION_STRUCTURE","Greenberg 1963"
U13,"If the nominal object always precedes the verb, then verb forms subordinate to the main verb also precede it.","nominal object always precedes the verb (i.e. dominant OV order)","subordinate verb forms also precede the main verb","implication","WORD_ORDER","Greenberg 1963"
U14,"In conditional statements, the conditional clause precedes the conclusion as the normal order in all languages.","language has conditional statements","conditional clause precedes the conclusion as normal order","absolute","WORD_ORDER","Greenberg 1963"
U15,"In expressions of volition and purpose, a subordinate verbal form always follows the main verb as the normal order except in those languages in which the nominal object always precedes the verb.","language expresses volition or purpose with a subordinate verbal form AND the nominal object does not always precede the verb","the subordinate verbal form follows the main verb as normal order","implication","WORD_ORDER","Greenberg 1963"
U16,"In languages with dominant order SOV, an inflected auxiliary always follows the main verb. In languages with dominant order VSO, an inflected auxiliary always precedes the main verb.","language has dominant SOV order","inflected auxiliary follows the main verb","implication","WORD_ORDER","Greenberg 1963"
U16b,"In languages with dominant order VSO, an inflected auxiliary always precedes the main verb.","language has dominant VSO order","inflected auxiliary precedes the main verb","implication","WORD_ORDER","Greenberg 1963"
U17,"With overwhelmingly more than chance frequency, languages with dominant order VSO have the adjective after the noun.","language has dominant VSO order","adjective follows the noun","correlation","NOUN_PHRASE_STRUCTURE","Greenberg 1963"
U18,"When the descriptive adjective precedes the noun, the demonstrative and the numeral, with overwhelmingly more than chance frequency, do likewise.","descriptive adjective precedes the noun","demonstrative and numeral also precede the noun","correlation","NOUN_PHRASE_STRUCTURE","Greenberg 1963"
U19,"When the general rule is that the descriptive adjective follows, there may be a minority of adjectives which usually precede, but when the general rule is that descriptive adjectives precede, there are no exceptions.","the dominant rule is that descriptive adjectives precede the noun","there are no exceptions (no adjectives that follow)","implication","NOUN_PHRASE_STRUCTURE","Greenberg 1963"
U20,"When any or all of the items—demonstrative, numeral, and descriptive adjective—precede the noun, they are always found in that order. If they follow, the order is either the same or its exact opposite.","demonstrative, numeral, and descriptive adjective all precede the noun","their relative order is always demonstrative > numeral > adjective > noun","implication","NOUN_PHRASE_STRUCTURE","Greenberg 1963"
U21,"If some or all adverbs follow the adjective they modify, then the adjective follows the noun and the verb precedes its nominal object as the dominant order.","some or all adverbs follow the adjective they modify","adjective follows the noun AND verb precedes its nominal object as dominant order","implication","WORD_ORDER","Greenberg 1963"
U22,"If in comparisons of superiority the only order, or one of the alternative orders, is standard-marker-adjective, then the language is postpositional. With overwhelmingly more than chance frequency, if the only order is adjective-marker-standard, the language is prepositional.","the only or one of the alternative orders in comparisons of superiority is standard-marker-adjective","language is postpositional","implication","WORD_ORDER","Greenberg 1963"
U23,"If in apposition the proper noun usually precedes the common noun, then the language is one in which the governing noun precedes its dependent genitive. With much better than chance frequency, if the common noun usually precedes the proper noun, the dependent genitive precedes its governing noun.","in apposition the proper noun usually precedes the common noun","governing noun precedes its dependent genitive","implication","NOUN_PHRASE_STRUCTURE","Greenberg 1963"
U24,"If the relative expression precedes the noun, either the language is postpositional, or the adjective precedes the noun, or both.","relative expression (relative clause) precedes the noun","language is postpositional OR adjective precedes the noun (or both)","implication","NOUN_PHRASE_STRUCTURE","Greenberg 1963"
U25,"If the pronominal object follows the verb, so does the nominal object.","pronominal object follows the verb","nominal object also follows the verb","implication","WORD_ORDER","Greenberg 1963"
